,0,1,2,3,4,5,6,7,8,9,10
2017/9/24,4.082718081,0.316355072,-2.931090681,-2.516698427,0.233891022,0.027632181,-2.216119709,-2.166451244,0.7707889,0.059503747,-0.115832922
2017/9/25,1.827792906,-1.98294688,-3.987518805,0.267935932,0.053519249,0.019345045,-1.591061055,-1.116041604,0.575301118,0.097217498,-0.281149797
2017/9/26,0.772436063,0.11459967,-2.545774816,-1.749443927,0.267981426,0.028028629,-1.669805183,-1.464335607,0.481798786,0.129017282,-1.04220431
2017/9/27,0.996714466,0.83843529,-3.232195216,-1.104532962,0.2596584,0.030046234,-1.382803105,-1.189831732,2.228934182,0.088424027,-0.282688529
2017/9/28,1.326880554,0.372526234,-2.779572241,-2.726171689,0.239074361,0.040542773,-1.21277616,-1.693222511,2.812845689,0.087823372,0.075522277
2017/9/29,0.874541244,0.008953556,-1.989858112,-1.557588074,0.208980094,0.020492195,-1.68733021,-1.775131673,1.065128342,0.145585148,0.161306154
2017/9/30,1.040796531,-0.290014707,-5.264025732,-0.957736865,0.26074119,0.011738151,-1.607776614,-2.891731087,1.707465527,0.168086484,0.099033968
2017/10/1,2.365221891,0.049738264,-1.666100716,0.091590468,0.061573956,0.069176127,-1.364841988,-1.047226321,-4.53473457,-0.360124117,-0.182492103
2017/10/2,1.557151461,-0.360851298,-2.862042695,-2.497749155,0.235018357,0.065459358,-1.233793705,-1.148322841,-3.263548378,0.181318979,0.159693085
2017/10/3,0.653913112,-0.305508353,-2.65550695,-3.424055333,0.218817118,0.054187825,-0.842731747,-1.500143589,-1.843530851,0.011156871,0.137657153
2017/10/4,0.977739383,-1.748032573,-5.474181083,-2.793681311,0.254847495,-0.200043822,-1.411247046,-1.424767694,1.501683955,0.152296018,0.054698263
2017/10/5,0.447883909,0.134917094,-2.643878274,6.441180438,0.230299625,0.077278808,-1.895008702,-1.560263635,0.58273073,0.147462049,0.215157656
2017/10/6,2.899749688,-0.148115579,-3.116331686,-3.812146617,0.238819893,0.077116459,-0.731263403,-1.680681277,2.166246979,0.130876836,-0.474080106
2017/10/7,0.011739645,-0.180716912,-2.131215536,-2.248357384,0.208479824,0.059028982,-1.342663793,-1.908741805,-0.540828485,0.157643278,-0.134866154
2017/10/8,0.956322636,-0.285996575,-2.308831684,-0.171504925,0.223104969,0.06285685,-1.658740774,-1.437486513,1.589169586,0.149463965,0.387814843
2017/10/9,-0.778040509,-0.017320528,-4.789878549,-2.820436877,-0.00208583,0.084933565,-0.875170768,-1.364889876,3.620216369,0.158555019,-0.213925162
